location_id,name,distance,bearing,address_obj.street1,address_obj.street2,address_obj.city,address_obj.country,address_obj.address_string,address_obj.postalcode
23687154,Spot Caffe,0.18572550350355857,northeast,Rua Conde de Aurora 18,,Porto,Portugal,"Rua Conde de Aurora 18, Porto 4200-009 Portugal",4200-009
23713850,Steakhouse Churrasqueira Nacional,0.4008726757672036,north,Rua Fotografo Arcelino N 7,,Braga,Portugal,"Rua Fotografo Arcelino N 7, Braga 4705-095 Portugal",4705-095
6107122,Colinatrum Cafe,0.7543272515993783,north,,"Rua Damião de Góis, 11",Braga,Portugal,"Rua Damião de Góis, 11, Braga 4700-028 Portugal",4700-028
19827767,Domino's Pizza Braga,0.4148808962622644,north,Quinta das Portas Rua Fotografo Arcelino 33 D R/C,,Braga,Portugal,"Quinta das Portas Rua Fotografo Arcelino 33 D R/C, Braga 4705-095 Portugal",4705-095
11844772,Casa Dos Croissants,0.6642682418812299,north,Rua Comendador Antonio Maria Santos da Cunha,"Centro Comercial Galécia, Lj 25A",Braga,Portugal,"Rua Comendador Antonio Maria Santos da Cunha Centro Comercial Galécia, Lj 25A, Braga 4700-026 Portugal",4700-026
19451480,Taberna Portuguesa,0.13576192557530603,northwest,Largo 12 de Dezembro n_ 31,Largo 12 de Dezembro n° 31 Lomar,Braga,Portugal,"Largo 12 de Dezembro n_ 31 Largo 12 de Dezembro n° 31 Lomar, Braga 4705-259 Portugal",4705-259
25296257,Lima's Restaurante,0.13893453708222794,northwest,Largo 12 de Dezembro N031,,Braga,Portugal,"Largo 12 de Dezembro N031, Braga 4705-259 Portugal",4705-259
15462740,Capitao Espetada,0.1684631846356655,northwest,Largo 12 de Dezembro 37,Lomar,Braga,Portugal,"Largo 12 de Dezembro 37 Lomar, Braga 4705-259 Portugal",4705-259
9778033,Chef Kiko,0.19250248574734985,northwest,Largo 12 de Dezembro,,Braga,Portugal,"Largo 12 de Dezembro, Braga 4705-259 Portugal",4705-259
10377622,Tabua Portuguesa,0.7642335176458002,north,Rua Damiao de Gois 241,,Braga,Portugal,"Rua Damiao de Gois 241, Braga 4700-028 Portugal",4700-028
3336615,Praxis Coimbra,0.08017044738475078,southeast,Rua Antonio Goncalves,Santa Clara,Coimbra,Portugal,"Rua Antonio Goncalves Santa Clara, Coimbra 3040-375 Portugal",3040-375
23551616,Da Vinci L'arte Della Pizza,0.06758215263985803,northeast,Rua Amorim Girao Lote 15 Loja 9,,Coimbra,Portugal,"Rua Amorim Girao Lote 15 Loja 9, Coimbra 3040-390 Portugal",3040-390
10349926,Kebab Mir Baba,0.07078021695469597,northeast,Rua Antonio Augusto Goncalves 1,Do outro lado da rua do Portugal dos Pequenitos e atrás do Mosteiro de Santa Clara-a-Velha,Coimbra,Portugal,"Rua Antonio Augusto Goncalves 1 Do outro lado da rua do Portugal dos Pequenitos e atrás do Mosteiro de Santa Clara-a-Velha, Coimbra 3040-241 Portugal",3040-241
1074233,Arcadas Restaurante - Hotel Quinta das Lagrimas,0.1542863336496592,north,Rua Antonio Augusto Goncalves,,Coimbra,Portugal,"Rua Antonio Augusto Goncalves, Coimbra 3040-241 Portugal",3040-241
17326159,Pedro & Ines,0.17571145075623767,north,Rua Antonio Augusto Goncalves,,Santa Clara,Portugal,"Rua Antonio Augusto Goncalves, Santa Clara 3041-901 Portugal",3041-901
5220463,O Observatorio,0.5224205826313524,northwest,Rua do Observatorio 23,,Santa Clara,Portugal,"Rua do Observatorio 23, Santa Clara 3040-004 Portugal",3040-004
12579554,Vhita Fit,0.6480998105931557,west,"R. Dom Joao III, 59",Bar do Holmes Place,Coimbra,Portugal,"R. Dom Joao III, 59 Bar do Holmes Place, Coimbra 3030-324 Portugal",3030-324
23474071,RAGU - Fresh Pasta,0.8273436298347286,west,Avenida Joao das Regras 90,,Coimbra,Portugal,"Avenida Joao das Regras 90, Coimbra 3040-256 Portugal",3040-256
23963544,Aliber,0.8273436298347286,west,Rua Do Vale Da Mata,,Coimbra,Portugal,"Rua Do Vale Da Mata, Coimbra Portugal",
25179538,O Palco,0.8273436298347286,west,Avenida Dom Afonso Henriques N 55,Loja RC DTO,Coimbra,Portugal,"Avenida Dom Afonso Henriques N 55 Loja RC DTO, Coimbra 3000-011 Portugal",3000-011
23970469,Don Grano,0.1176685955942909,north,Rua Gil Eanes 39,,Braga,Portugal,"Rua Gil Eanes 39, Braga 4715-192 Portugal",4715-192
6107141,Prestigium-Pastelarias,0.5471845643158646,north,Rua Jose Antonio Cruz 259,,Braga,Portugal,"Rua Jose Antonio Cruz 259, Braga 4715-343 Portugal",4715-343
