postal_code,cod_distrito,cod_concelho,cod_localidade,nome_localidade,num_cod_postal,ext_cod_postal,desig_postal,nome_concelho,nome_distrito,LatLong
3810-514,1,5,6684,Aveiro,3810,514,AVEIRO,Aveiro,Aveiro,40.624746076914214%2C-8.619437669378998
3810-892,1,5,6684,Aveiro,3810,892,AVEIRO,Aveiro,Aveiro,40.6315794302374%2C-8.624770781617654
3800-122,1,5,6684,Aveiro,3800,122,AVEIRO,Aveiro,Aveiro,40.645466935100494%2C-8.644186141893883
3810-517,1,5,6684,Aveiro,3810,517,AVEIRO,Aveiro,Aveiro,40.63662900292716%2C-8.629942028552597
3810-030,1,5,6684,Aveiro,3810,030,AVEIRO,Aveiro,Aveiro,40.63136211322006%2C-8.608453495461937
3810-891,1,5,6684,Aveiro,3810,891,AVEIRO,Aveiro,Aveiro,40.62843021479202%2C-8.617766334566785
3810-557,1,5,6684,Aveiro,3810,557,AVEIRO,Aveiro,Aveiro,40.62296341138863%2C-8.61516471288794
3810-224,1,5,6684,Aveiro,3810,224,AVEIRO,Aveiro,Aveiro,40.61993472525091%2C-8.612952212948557
3810-534,1,5,6684,Aveiro,3810,534,AVEIRO,Aveiro,Aveiro,40.62359691728836%2C-8.604421977965957
3800-416,1,5,6684,Aveiro,3800,416,AVEIRO,Aveiro,Aveiro,40.646826739598005%2C-8.635909180747392
3800-125,1,5,6684,Aveiro,3800,125,AVEIRO,Aveiro,Aveiro,40.643506788027864%2C-8.631810187314427
3800-423,1,5,6684,Aveiro,3800,423,AVEIRO,Aveiro,Aveiro,40.64689892504616%2C-8.632237893007625
3800-417,1,5,6684,Aveiro,3800,417,AVEIRO,Aveiro,Aveiro,40.2050645378582%2C-8.416718725283756
3800-395,1,5,6684,Aveiro,3800,395,AVEIRO,Aveiro,Aveiro,40.642797865134646%2C-8.614038429366504
3800-371,1,5,6684,Aveiro,3800,371,AVEIRO,Aveiro,Aveiro,40.65335204162241%2C-8.623734844029237
3800-372,1,5,6684,Aveiro,3800,372,AVEIRO,Aveiro,Aveiro,40.653621786825205%2C-8.623178672602243
3800-379,1,5,6684,Aveiro,3800,379,AVEIRO,Aveiro,Aveiro,40.6472082202111%2C-8.61814705530121
3800-375,1,5,6684,Aveiro,3800,375,AVEIRO,Aveiro,Aveiro,40.65113276926112%2C-8.589637040968839
