location_id,name,distance,bearing,address_obj.street1,address_obj.street2,address_obj.city,address_obj.country,address_obj.postalcode,address_obj.address_string
249550,Evora Hotel,1.072845411357822,northwest,Av. Tulio Espanca Apart. 93,,Evora,Portugal,7002-502,"Av. Tulio Espanca Apart. 93, Evora 7002-502 Portugal"
506100,Vitoria Stone Hotel,0.6228655704154162,north,Rua Diana de Liz 5,,Evora,Portugal,7005-413,"Rua Diana de Liz 5, Evora 7005-413 Portugal"
206917,ibis Evora,0.7361027031133452,north,Rua de Viana 18,Qta. Tapada Urb. Muralha,Evora,Portugal,7000-968,"Rua de Viana 18 Qta. Tapada Urb. Muralha, Evora 7000-968 Portugal"
253490,M'AR De AR Muralhas,0.9546496001221799,north,Travessa da Palmeira 4,ex. Hotel da Cartuxa,Evora,Portugal,7000-546,"Travessa da Palmeira 4 ex. Hotel da Cartuxa, Evora 7000-546 Portugal"
5016385,Moov Hotel Evora,0.9165414921844496,north,Rua do Raimundo 99,,Evora,Portugal,7000-661,"Rua do Raimundo 99, Evora 7000-661 Portugal"
506861,Hotel Dom Fernando,0.7869353258403314,northeast,"Av. Dr. Francisco Barahona, 2",,Evora,Portugal,7005-150,"Av. Dr. Francisco Barahona, 2, Evora 7005-150 Portugal"
10170051,Evora Olive Hotel,1.0146252250881973,northeast,Rua de Eborim 18,,Evora,Portugal,7000-659,"Rua de Eborim 18, Evora 7000-659 Portugal"
1395253,Planicie,1.0908609865442365,northeast,Rua Miguel Bombarda 40,,Evora,Portugal,7000-919,"Rua Miguel Bombarda 40, Evora 7000-919 Portugal"
231468,"Hotel Coimbra Aeminium, Affiliated by Melia",0.4119607986279325,northeast,Avenida Armando Gonsalves 20,,Coimbra,Portugal,3000-059,"Avenida Armando Gonsalves 20, Coimbra 3000-059 Portugal"
10493825,Despertar Saudade AL,0.13295936551044105,southwest,Praca da Republica No 8,,Coimbra,Portugal,3000-343,"Praca da Republica No 8, Coimbra 3000-343 Portugal"
12618422,Hotel Ibn-Arrik,0.24357592387327875,southwest,Rua Alexandre Herculano 18 24,,Coimbra,Portugal,3000-019,"Rua Alexandre Herculano 18 24, Coimbra 3000-019 Portugal"
269562,Pensao Residencial Antunes,0.28023232317593566,southwest,Rua Castro Matoso 8,,Coimbra,Portugal,3000-104,"Rua Castro Matoso 8, Coimbra 3000-104 Portugal"
23512087,Pharmacia Guest House,0.6248138737542919,west,Rua Ferreira Borges 139,,Coimbra,Portugal,3000-180,"Rua Ferreira Borges 139, Coimbra 3000-180 Portugal"
6967011,Hotel Botanico de Coimbra,0.5544843841969644,south,Bairro de Sao Jose No. 15,,Coimbra,Portugal,3030-207,"Bairro de Sao Jose No. 15, Coimbra 3030-207 Portugal"
12615254,Sapientia Boutique Hotel,0.5312931505891666,southwest,Rua Jose Falcao N 4,,Coimbra,Portugal,3000-062,"Rua Jose Falcao N 4, Coimbra 3000-062 Portugal"
206909,Hotel ibis Coimbra Centro,0.6173676237688892,southwest,Hotel Ibis Avenida Emidio Navarro 70,Edificio Topazio,Coimbra,Portugal,3000-150,"Hotel Ibis Avenida Emidio Navarro 70 Edificio Topazio, Coimbra 3000-150 Portugal"
23400627,B&B Hotel Lisboa Montijo,0.22547007149241013,southeast,"Avenida D. Afonso Henriques, 34",,Montijo,Portugal,2870-154,"Avenida D. Afonso Henriques, 34, Montijo 2870-154 Portugal"
23836469,Hastens Sleep Spa - CBR Boutique Hotel,0.6489333267474305,west,Largo da Portagem 27,,Coimbra,Portugal,3000-337,"Largo da Portagem 27, Coimbra 3000-337 Portugal"
1225207,Hotel Residencial Sao Nicolau,1.0537962641550287,northwest,Avenida Joao XXI 732,,Braga,Portugal,4715-036,"Avenida Joao XXI 732, Braga 4715-036 Portugal"
249553,Ibis Budget Braga Centro,1.0089249335388284,northwest,Avenida da Liberdade 96,,Braga,Portugal,4715-037,"Avenida da Liberdade 96, Braga 4715-037 Portugal"
1718130,Hotel Joao XXI,1.0455329481400064,northwest,Avenida Joao XXI 849,,Braga,Portugal,4715-035,"Avenida Joao XXI 849, Braga 4715-035 Portugal"
4053170,Mercure Braga Centro,1.0741901088737587,northwest,Praceta Joao XXI,,Braga,Portugal,4715-036,"Praceta Joao XXI, Braga 4715-036 Portugal"
1899880,Residencial Dora,1.2087423176578898,northwest,Largo Senhora-a-Branca 92 94,,Braga,Portugal,4710-926,"Largo Senhora-a-Branca 92 94, Braga 4710-926 Portugal"
613552,Hotel Bracara Augusta,1.3001949949282854,northwest,Avenida Central no 134,,Braga,Portugal,4710-229,"Avenida Central no 134, Braga 4710-229 Portugal"
324282,Hotel Senhora-a-Branca,1.2207835787785277,northwest,Largo Sra. A. Branca 58,,Braga,Portugal,4710-443,"Largo Sra. A. Branca 58, Braga 4710-443 Portugal"
1060465,B&B Hotel Braga Lamacoes,1.0244083210989785,north,Avenida Dom Joao II No. 75,,Braga,Portugal,4715-303,"Avenida Dom Joao II No. 75, Braga 4715-303 Portugal"
1142300,Hotel Tabua,1.0270789165462288,northeast,Rua Professor Doutor Caeiro da Matta,,Coimbra,Portugal,3420-335,"Rua Professor Doutor Caeiro da Matta, Coimbra 3420-335 Portugal"
2045073,Basic Braga by AXIS,0.05225305547344404,southeast,Largo Maximinos,,Braga,Portugal,4700,"Largo Maximinos, Braga 4700 Portugal"
262247,Urban Hotel Estacao,0.12652715087250213,northeast,Largo da Estacao 13,,Braga,Portugal,4700-223,"Largo da Estacao 13, Braga 4700-223 Portugal"
12309289,Burgus Tribute & Design Hotel,0.40937528823344477,east,Rua Dom Afonso Henriques 28,,Braga,Portugal,4700-030,"Rua Dom Afonso Henriques 28, Braga 4700-030 Portugal"
324283,Hotel Dona Sofia,0.535337380416508,east,Largo Sao Joao do Souto 131,S. João Do Souto,Braga,Portugal,4700-326,"Largo Sao Joao do Souto 131 S. João Do Souto, Braga 4700-326 Portugal"
17599767,Porta Nova Collection House,0.3687518628289324,east,Rua Dom Diogo de Sousa No. 6,,Braga,Portugal,4700-422,"Rua Dom Diogo de Sousa No. 6, Braga 4700-422 Portugal"
1853240,Terrace House,0.6200329508305233,east,Rua de Sao Marcos 80,São João do Souto,Braga,Portugal,4700-328,"Rua de Sao Marcos 80 São João do Souto, Braga 4700-328 Portugal"
206910,ibis Braga Centro Hotel,0.6076064245149888,northeast,Rua do Carmo 38,,Braga,Portugal,4700-309,"Rua do Carmo 38, Braga 4700-309 Portugal"
17790288,Hotel Moon & Sun Braga,0.627680610835888,east,Rua dos Capelistas 85,,Braga,Portugal,4700-307,"Rua dos Capelistas 85, Braga 4700-307 Portugal"
13804355,Vila Gale Collection Braga,0.6351764070094488,east,Largo Carlos Amarante,,Braga,Portugal,4700-308,"Largo Carlos Amarante, Braga 4700-308 Portugal"
4053170,Mercure Braga Centro,0.8487039996310204,east,Praceta Joao XXI,,Braga,Portugal,4715-036,"Praceta Joao XXI, Braga 4715-036 Portugal"
206384,Braga Flag Hotel,0.6692521204440073,southeast,Rua Damiana Maria da Silva 20,,Braga,Portugal,4705-085,"Rua Damiana Maria da Silva 20, Braga 4705-085 Portugal"
1060465,B&B Hotel Braga Lamacoes,0.5150818148963758,north,Avenida Dom Joao II No. 75,,Braga,Portugal,4715-303,"Avenida Dom Joao II No. 75, Braga 4715-303 Portugal"
1778203,Melia Braga,0.7968737760214718,north,"Av. General Carrilho da Silva Pinto, nr. 8",,Braga,Portugal,4715-380,"Av. General Carrilho da Silva Pinto, nr. 8, Braga 4715-380 Portugal"
573182,Hotel Do Templo,1.112854485704245,northeast,Bom Jesus Do Monte,Tenoes,Braga,Portugal,4715-297,"Bom Jesus Do Monte Tenoes, Braga 4715-297 Portugal"
296981,Hotel do Elevador,1.1630459172771679,northeast,Bom Jesus do Monte,,Braga,Portugal,4710-455,"Bom Jesus do Monte, Braga 4710-455 Portugal"
253644,Hotel do Parque,1.1777991396170815,northeast,Bom Jesus Do Monte,,Braga,Portugal,4715-297,"Bom Jesus Do Monte, Braga 4715-297 Portugal"
207107,Pousada Convento de Evora,0.35755224732308666,southwest,Largo do Conde de Vila Flor 4,,Evora,Portugal,7000-804,"Largo do Conde de Vila Flor 4, Evora 7000-804 Portugal"
12579601,The Noble House,0.3444679465135119,southwest,Rua da Freiria de Baixo 16,,Evora,Portugal,7000-898,"Rua da Freiria de Baixo 16, Evora 7000-898 Portugal"
261349,The Noble House,0.3454593372788715,southwest,Rua da Freiria de Baixo 16,,Evora,Portugal,7000-898,"Rua da Freiria de Baixo 16, Evora 7000-898 Portugal"
23850713,Mourasuites Hotel,0.4215565027040169,southwest,Largo da Portas de Moura 28,,Evora,Portugal,7000-647,"Largo da Portas de Moura 28, Evora 7000-647 Portugal"
23710954,Casa Soure Suites and apartements,0.42985073053269157,southwest,Rua da Misericordia n0 9,,Evora,Portugal,7000-654,"Rua da Misericordia n0 9, Evora 7000-654 Portugal"
253484,Hotel Riviera,0.45799745699910144,southwest,Rua 5 de Outubro 47 49,,Evora,Portugal,7000-854,"Rua 5 de Outubro 47 49, Evora 7000-854 Portugal"
238059,Hotel Solar de Monfalim,0.46894540102104104,southwest,Largo da Misericordia 01,,Evora,Portugal,7000-646,"Largo da Misericordia 01, Evora 7000-646 Portugal"
1395253,Planicie,0.504107933743147,southwest,Rua Miguel Bombarda 40,,Evora,Portugal,7000-919,"Rua Miguel Bombarda 40, Evora 7000-919 Portugal"
625119,Hotel Provincia,0.5497108728123008,southeast,"EN 256, Km 19.5",Apartado 54,Reguengos de Monsaraz,Portugal,7200-999,"EN 256, Km 19.5 Apartado 54, Reguengos de Monsaraz 7200-999 Portugal"
607003,Graca Hotel,0.9055142276991591,southeast,Q.ta Branca do Faial lote 4,,Evora,Portugal,7005-862,"Q.ta Branca do Faial lote 4, Evora 7005-862 Portugal"
206384,Braga Flag Hotel,0.25358028710511116,southwest,Rua Damiana Maria da Silva 20,,Braga,Portugal,4705-085,"Rua Damiana Maria da Silva 20, Braga 4705-085 Portugal"
12309289,Burgus Tribute & Design Hotel,0.07843200996129943,east,Rua Dom Afonso Henriques 28,,Braga,Portugal,4700-030,"Rua Dom Afonso Henriques 28, Braga 4700-030 Portugal"
324283,Hotel Dona Sofia,0.20410085590736274,east,Largo Sao Joao do Souto 131,S. João Do Souto,Braga,Portugal,4700-326,"Largo Sao Joao do Souto 131 S. João Do Souto, Braga 4700-326 Portugal"
262247,Urban Hotel Estacao,0.2408080565461995,west,Largo da Estacao 13,,Braga,Portugal,4700-223,"Largo da Estacao 13, Braga 4700-223 Portugal"
2045073,Basic Braga by AXIS,0.2967812594532553,west,Largo Maximinos,,Braga,Portugal,4700,"Largo Maximinos, Braga 4700 Portugal"
17599767,Porta Nova Collection House,0.0915464958465251,north,Rua Dom Diogo de Sousa No. 6,,Braga,Portugal,4700-422,"Rua Dom Diogo de Sousa No. 6, Braga 4700-422 Portugal"
1853240,Terrace House,0.289545422774717,east,Rua de Sao Marcos 80,São João do Souto,Braga,Portugal,4700-328,"Rua de Sao Marcos 80 São João do Souto, Braga 4700-328 Portugal"
206910,ibis Braga Centro Hotel,0.3457269781035006,northeast,Rua do Carmo 38,,Braga,Portugal,4700-309,"Rua do Carmo 38, Braga 4700-309 Portugal"
17790288,Hotel Moon & Sun Braga,0.32116145731205686,northeast,Rua dos Capelistas 85,,Braga,Portugal,4700-307,"Rua dos Capelistas 85, Braga 4700-307 Portugal"
13804355,Vila Gale Collection Braga,0.30286620744525666,east,Largo Carlos Amarante,,Braga,Portugal,4700-308,"Largo Carlos Amarante, Braga 4700-308 Portugal"
4053170,Mercure Braga Centro,0.5358534792496413,east,Praceta Joao XXI,,Braga,Portugal,4715-036,"Praceta Joao XXI, Braga 4715-036 Portugal"
231468,"Hotel Coimbra Aeminium, Affiliated by Melia",0.16231348321164835,north,Avenida Armando Gonsalves 20,,Coimbra,Portugal,3000-059,"Avenida Armando Gonsalves 20, Coimbra 3000-059 Portugal"
10493825,Despertar Saudade AL,0.4163931381027554,southwest,Praca da Republica No 8,,Coimbra,Portugal,3000-343,"Praca da Republica No 8, Coimbra 3000-343 Portugal"
23400627,B&B Hotel Lisboa Montijo,0.33812886394250585,south,"Avenida D. Afonso Henriques, 34",,Montijo,Portugal,2870-154,"Avenida D. Afonso Henriques, 34, Montijo 2870-154 Portugal"
12618422,Hotel Ibn-Arrik,0.5168874016762874,southwest,Rua Alexandre Herculano 18 24,,Coimbra,Portugal,3000-019,"Rua Alexandre Herculano 18 24, Coimbra 3000-019 Portugal"
269562,Pensao Residencial Antunes,0.5592711145931359,southwest,Rua Castro Matoso 8,,Coimbra,Portugal,3000-104,"Rua Castro Matoso 8, Coimbra 3000-104 Portugal"
23512087,Pharmacia Guest House,0.8935147969142999,southwest,Rua Ferreira Borges 139,,Coimbra,Portugal,3000-180,"Rua Ferreira Borges 139, Coimbra 3000-180 Portugal"
6967011,Hotel Botanico de Coimbra,0.7913218720275464,south,Bairro de Sao Jose No. 15,,Coimbra,Portugal,3030-207,"Bairro de Sao Jose No. 15, Coimbra 3030-207 Portugal"
12615254,Sapientia Boutique Hotel,0.8157330502689795,southwest,Rua Jose Falcao N 4,,Coimbra,Portugal,3000-062,"Rua Jose Falcao N 4, Coimbra 3000-062 Portugal"
206909,Hotel ibis Coimbra Centro,0.9032481911589074,southwest,Hotel Ibis Avenida Emidio Navarro 70,Edificio Topazio,Coimbra,Portugal,3000-150,"Hotel Ibis Avenida Emidio Navarro 70 Edificio Topazio, Coimbra 3000-150 Portugal"
23836469,Hastens Sleep Spa - CBR Boutique Hotel,0.9239556604192641,southwest,Largo da Portagem 27,,Coimbra,Portugal,3000-337,"Largo da Portagem 27, Coimbra 3000-337 Portugal"
231461,Hotel Afonso V,0.07829165816302729,southeast,Rua do Doutor Manuel das Neves 65,,Aveiro,Portugal,3810-101,"Rua do Doutor Manuel das Neves 65, Aveiro 3810-101 Portugal"
575990,Melia Ria,0.19987625584659924,east,Cais da Fonte Nova,Lote 5,Aveiro,Portugal,3810-200,"Cais da Fonte Nova Lote 5, Aveiro 3810-200 Portugal"
263939,Hotel As Americas,0.47466812600471525,north,Rua Engenheiro Von Haff 20,,Aveiro,Portugal,3800-176,"Rua Engenheiro Von Haff 20, Aveiro 3800-176 Portugal"
232114,Veneza Hotel,0.5385019290327265,northeast,Rua Engenheiro Luis Gomes de Carvalho 23,,Aveiro,Portugal,3800-211,"Rua Engenheiro Luis Gomes de Carvalho 23, Aveiro 3800-211 Portugal"
624962,Hotel Jardim,0.12892267481330116,southeast,Praceta Afonso V,,Aveiro,Portugal,3810-094,"Praceta Afonso V, Aveiro 3810-094 Portugal"
227445,Hotel Imperial,0.25922600171155474,northwest,Rua do Doutor Nascimento Leitao 108,,Aveiro,Portugal,3810-108,"Rua do Doutor Nascimento Leitao 108, Aveiro 3810-108 Portugal"
263944,Hotel Aveiro Center,0.3982710729960773,northwest,Rua da Arrochela 6,,Aveiro,Portugal,3810-052,"Rua da Arrochela 6, Aveiro 3810-052 Portugal"
25266193,Galeria Suite Hotel,0.38638687541276506,northwest,Rua de Jose Estevao 23,,Aveiro,Portugal,3800-202,"Rua de Jose Estevao 23, Aveiro 3800-202 Portugal"
536083,Jose Estevao Hotel,0.38998318899750767,northwest,Rua de Jose Estevao 23,,Aveiro,Portugal,3800-202,"Rua de Jose Estevao 23, Aveiro 3800-202 Portugal"
24110893,1877 Estrela Palace Hotel,0.38738018220763876,northwest,Rua de Jose Estevao 4,,Aveiro,Portugal,3800-202,"Rua de Jose Estevao 4, Aveiro 3800-202 Portugal"
249553,Ibis Budget Braga Centro,0.7855500905147932,north,Avenida da Liberdade 96,,Braga,Portugal,4715-037,"Avenida da Liberdade 96, Braga 4715-037 Portugal"
4053170,Mercure Braga Centro,0.8693179167145785,north,Praceta Joao XXI,,Braga,Portugal,4715-036,"Praceta Joao XXI, Braga 4715-036 Portugal"
1718130,Hotel Joao XXI,0.8476587572581267,north,Avenida Joao XXI 849,,Braga,Portugal,4715-035,"Avenida Joao XXI 849, Braga 4715-035 Portugal"
1225207,Hotel Residencial Sao Nicolau,0.9335476579063537,north,Avenida Joao XXI 732,,Braga,Portugal,4715-036,"Avenida Joao XXI 732, Braga 4715-036 Portugal"
2045073,Basic Braga by AXIS,1.21799498006728,northwest,Largo Maximinos,,Braga,Portugal,4700,"Largo Maximinos, Braga 4700 Portugal"
,,,,,,,,,
17599767,Porta Nova Collection House,0.6516803293949669,southeast,Rua Dom Diogo de Sousa No. 6,,Braga,Portugal,4700-422,"Rua Dom Diogo de Sousa No. 6, Braga 4700-422 Portugal"
206910,ibis Braga Centro Hotel,0.7290028058621411,east,Rua do Carmo 38,,Braga,Portugal,4700-309,"Rua do Carmo 38, Braga 4700-309 Portugal"
17790288,Hotel Moon & Sun Braga,0.8218943757890252,east,Rua dos Capelistas 85,,Braga,Portugal,4700-307,"Rua dos Capelistas 85, Braga 4700-307 Portugal"
1853240,Terrace House,0.8886100674328579,southeast,Rua de Sao Marcos 80,São João do Souto,Braga,Portugal,4700-328,"Rua de Sao Marcos 80 São João do Souto, Braga 4700-328 Portugal"
2045073,Basic Braga by AXIS,0.5590324609870034,southeast,Largo Maximinos,,Braga,Portugal,4700,"Largo Maximinos, Braga 4700 Portugal"
262247,Urban Hotel Estacao,0.49009545780833924,southeast,Largo da Estacao 13,,Braga,Portugal,4700-223,"Largo da Estacao 13, Braga 4700-223 Portugal"
324283,Hotel Dona Sofia,0.8265943969853703,southeast,Largo Sao Joao do Souto 131,S. João Do Souto,Braga,Portugal,4700-326,"Largo Sao Joao do Souto 131 S. João Do Souto, Braga 4700-326 Portugal"
12309289,Burgus Tribute & Design Hotel,0.759895962858032,southeast,Rua Dom Afonso Henriques 28,,Braga,Portugal,4700-030,"Rua Dom Afonso Henriques 28, Braga 4700-030 Portugal"
633325,Hotel Residencial Avenida,0.9101457496372085,east,Avenida Central,,Braga,Portugal,4710-228,"Avenida Central, Braga 4710-228 Portugal"
13804355,Vila Gale Collection Braga,0.9442639919459417,southeast,Largo Carlos Amarante,,Braga,Portugal,4700-308,"Largo Carlos Amarante, Braga 4700-308 Portugal"
624962,Hotel Jardim,0.6754756447403423,north,Praceta Afonso V,,Aveiro,Portugal,3810-094,"Praceta Afonso V, Aveiro 3810-094 Portugal"
231461,Hotel Afonso V,0.7177823355508548,north,Rua do Doutor Manuel das Neves 65,,Aveiro,Portugal,3810-101,"Rua do Doutor Manuel das Neves 65, Aveiro 3810-101 Portugal"
575990,Melia Ria,0.840667038284095,north,Cais da Fonte Nova,Lote 5,Aveiro,Portugal,3810-200,"Cais da Fonte Nova Lote 5, Aveiro 3810-200 Portugal"
227445,Hotel Imperial,0.9089674821989547,north,Rua do Doutor Nascimento Leitao 108,,Aveiro,Portugal,3810-108,"Rua do Doutor Nascimento Leitao 108, Aveiro 3810-108 Portugal"
263944,Hotel Aveiro Center,0.9634323361611402,north,Rua da Arrochela 6,,Aveiro,Portugal,3810-052,"Rua da Arrochela 6, Aveiro 3810-052 Portugal"
1740691,Hotel das Salinas,1.0266405019011573,northwest,Rua da Liberdade 10,Gloria,Aveiro,Portugal,3810-126,"Rua da Liberdade 10 Gloria, Aveiro 3810-126 Portugal"
