location_id,name,distance,bearing,address_obj.street1,address_obj.city,address_obj.country,address_obj.postalcode,address_obj.address_string,address_obj.street2,address_obj.state
3513912,Cattedrale di Aveiro,0.06985837885210083,east,"Rua Batalhao Cacadores Dez, 67",Aveiro,Portugal,3810-064,"Rua Batalhao Cacadores Dez, 67, Aveiro 3810-064 Portugal",,
11629534,Solve & Escape,0.609442592744794,west,Rua Magalhaes Serrao 1,Aveiro,Portugal,3810-130,"Rua Magalhaes Serrao 1, Aveiro 3810-130 Portugal",,
23484406,Statue of Reverend Father Jose Vieira Pereira,0.1347308607458595,southeast,R. da Igreja Nova,Canical,Portugal,9200,"R. da Igreja Nova, Canical, Madeira 9200 Portugal",,Madeira
12928798,Vipbus,0.2944964719054498,southwest,,Coimbra,Portugal,,Coimbra Portugal,,
13873545,Alentejo In Ride,0.09071768417953498,east,"Rua do Escoural, 38",Evora,Portugal,7005-426,"Rua do Escoural, 38 Bº Sra da Saude, Evora 7005-426 Portugal",Bº Sra da Saude,
3869808,Indigo Centro de Estetica e Spa Urbano,0.09969309824966496,southeast,Rua Pedro Alvares Cabral 30,Coimbra,Portugal,3030-069,"Rua Pedro Alvares Cabral 30, Coimbra 3030-069 Portugal",,
19261527,Escadas do Quinchorro,0.8593194102334965,east,R. dos Foscadores 9,Coimbra,Portugal,3040-202,"R. dos Foscadores 9, Coimbra 3040-202 Portugal",,
7789442,Museu PIO XII,0.3321274815313928,southeast,Largo de Sao Tiago 47,Braga,Portugal,4700-039,"Largo de Sao Tiago 47 Largo de Santiago, 47, Braga 4700-039 Portugal","Largo de Santiago, 47",
2294721,Museu D. Diogo de Sousa - Museum of Archeology,0.46701791611950416,north,Rua dos Bombeiros Voluntarios,Braga,Portugal,4700-025,"Rua dos Bombeiros Voluntarios, Braga 4700-025 Portugal",,
,,,,,,,,,,
13568664,Edificio da Travessa dos Lagares,0.9355576423729384,east,Travessa dos Lagares 18,Evora,Portugal,7000-565,"Travessa dos Lagares 18, Evora 7000-565 Portugal",,
3874056,Observatorio Geofisico e Astronomico,0.24353445004878216,northeast,Rua do Observatorio S/N,Coimbra,Portugal,3040-004,"Rua do Observatorio S/N, Coimbra 3040-004 Portugal",,
16843797,Fonte da Audicao,0.7055652284509418,southwest,Monte do Bom Jesus 4715-056,Braga,Portugal,4715-297,"Monte do Bom Jesus 4715-056, Braga 4715-297 Portugal",,
